,created_at,deleted_at,email_address,first_name,id,last_name,merged_at,parent_user_id
0,2014-12-20 07:07:45,,ArataHopper@earthlink.info,Arata,51590.0,Hopper,,
1,2016-10-14 05:39:20,,Riya_Gruber1974@mail.net,Riya,158891.0,Gruber,,
2,2017-01-21 10:20:09,,Peter_Sousa@yahoo.info,Peter,179949.0,Sousa,,
3,2015-10-30 21:31:30,,D_Kowalski1962@gmail.com,D,98000.0,Kowalski,,
4,2015-10-24 16:27:27,,SNovak1966@mail.com,S,93994.0,Novak,,
5,2017-01-08 17:44:28,,Robot_Santos@yahoo.biz,Robot,179853.0,Santos,,
6,2015-02-07 22:39:03,,Luis_Wilson1996@inbox.org,Luis,58011.0,Wilson,,
7,2015-03-29 09:38:01,,D_Powell1991@yahoo.edu,D,64712.0,Powell,,
8,2015-03-10 02:37:55,,E_Hernandez1990@gmail.biz,E,61742.0,Hernandez,,
9,2017-06-20 04:34:14,,L_McRobot@gmail.com,L,212631.0,McRobot,,
10,2017-04-05 10:41:45,,F_Fourie@earthlink.net,F,199364.0,Fourie,,
11,2016-03-26 07:29:45,,Katherine_Hassan1954@outlook.com,Katherine,123499.0,Hassan,,
12,2017-04-12 23:16:55,,Grace_Kumar@gmail.com,Grace,196712.0,Kumar,,
13,2014-01-12 06:50:49,,Ben_Korhonen@gmail.net,Ben,14946.0,Korhonen,,
14,2018-01-16 20:36:12,,M_Computer@gmail.com,M,261175.0,Computer,,
15,2017-04-13 12:47:09,,Maryam_Hassan@earthlink.edu,Maryam,196460.0,Hassan,,
16,2016-11-13 03:33:37,,AliTaylor1980@inbox.info,Ali,165195.0,Taylor,2017-04-17 12:36:24,165195.0
17,2014-05-17 17:45:29,,JanelleBrown@yahoo.com,Janelle,26445.0,Brown,,
18,2016-04-11 17:03:03,,N_Costa@mail.com,N,127206.0,Costa,,
19,2017-07-17 15:09:58,2017-12-12 20:01:26,JSargsyan@gmail.biz,J,220461.0,Sargsyan,,
20,2017-04-15 15:43:04,,AnneRossi@gmail.edu,Anne,198564.0,Rossi,,
21,2016-11-17 03:25:23,,DiegoRussell1978@gmail.info,Diego,164835.0,Russell,,
22,2014-09-28 05:24:43,,YKruger1994@gmail.org,Y,40319.0,Kruger,,
23,2017-11-28 20:12:59,,Rebecca_Pillay1960@outlook.com,Rebecca,250698.0,Pillay,,
24,2015-01-26 16:22:06,,GeorgeWilson1959@gmail.com,George,55818.0,Wilson,,
25,2014-06-24 04:22:31,,BPhillips@yahoo.edu,B,28752.0,Phillips,,
26,2016-12-05 04:20:47,,Zoe_Khoury@inbox.biz,Zoe,171657.0,Khoury,,
27,2018-02-17 03:11:30,,IsabellaScientist1960@outlook.edu,Isabella,271633.0,Scientist,,
28,2017-02-10 13:33:13,2017-09-14 10:50:06,Mateo_Anand@earthlink.edu,Mateo,185769.0,Anand,,
29,2016-06-04 13:17:41,,Yuna_Davis1960@earthlink.edu,Yuna,134297.0,Davis,,
30,2018-04-13 23:03:23,,Seo-yun_Rodriquez1993@yahoo.net,Seo-yun,285201.0,Rodriquez,,
31,2018-05-07 19:29:34,,NathanVarghese1987@inbox.edu,Nathan,288775.0,Varghese,,
32,2015-10-20 19:07:59,,R_Liu1979@gmail.com,R,93660.0,Liu,,
33,2016-10-04 18:46:28,,M_Taylor@yahoo.org,M,156875.0,Taylor,,
34,2016-08-26 17:12:58,,SSokolov1992@yahoo.info,S,148813.0,Sokolov,,
35,2016-02-15 11:17:42,,Fatima_Freeman@gmail.org,Fatima,113115.0,Freeman,,
36,2016-11-25 00:47:45,,Diya_Wilson@yahoo.edu,Diya,170419.0,Wilson,,
37,2013-10-08 04:29:03,,Ariel_Watanabe1981@yahoo.net,Ariel,8487.0,Watanabe,,
